Item,Type,Description,Product type,Main type,Items,Email (from Contacts) (from Customer) (from Orders) (from Items),Customers,Unit price,Picture,Weight (g),Material,Comment,Unit cost ¥,For sales,Costs proposed by suppliers
Glass - 6057-B# Bourbon 700ml,Glass,6057-B# Bourbon 700ml,['Repeat order'],Glass,['recCGyNbfRVkNpq3s'],['even@willettdistillery.com'],,0.79,"[{'id': 'attSDo4xnsasseeXD', 'width': 308, 'height': 512, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/VhEYv2Slg-DavZ1P4Av58w/oUE1Edh5e6fF0JRR0aswRuano049r7HdGc8aCwlUvlruRQt7y6hlpYvI9hljeteTE7oXJyr7oDLaH1ZUis-4yJLo6rZlnxy_tFzdCqlaUhZlEvfKQD2CKXa-C5mTrlkk/UyjlwRM8Ibk_TvooStLqZ_nEuOJIji8LsaSNAs4uf-o', 'filename': 'Capture d’écran 2023-07-25 à 14.02.22.png', 'size': 61183, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/tZNWjdVEaDg1RnL7uTgkhg/PeZEU5e2pp0vThktBi9R425AugZUkaBP2RAPI1Ccufyda6iyB3EtsHucpurt038rLM_m8YrLQ1dBZziQAvgxTA/0ndAkq5jyhlS0x2bolrebndTbKVhKbX47QA8dwsn9fs', 'width': 22, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/FB5Aeyd0db9VDcIKtHAw5g/wLrY2XXbq-ptkV_Uoa9t0phhTfd5jwjIWTVMtxHEeZp-CcYWW7rNvTXX7pwdz5xTh07PpeV5LaScli3YXOrJUQ/1F0hwDzWO29saGK5drYWoYGQzivI5UuyJrzh__wXfOI', 'width': 308, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/zurax3P3JSkm0FpaUdQUyA/6M17PEL_tSS3yR18ZBf-_FnywbY49kxKM5XZj2buyRpUfTibL2nSybBXwJNVLuSLxRA7VqwtrZGtnFPi2YdyJw/rLu50KY-eu14ExjUJqrWoQpi6ninjuAExq-jvy-xrt0', 'width': 3000, 'height': 3000}}}]",640.0,,,,,
Glass - Cadushy 700ml,Glass,Cadushy 700ml,['Repeat order'],Glass,['recrHi3ZUaSbSAJ2T'],,,,,,,,,,
Accessories - CORK-V 700 / 750 / 1000ml Vodka,Accessories,CORK-V 700 / 750 / 1000ml Vodka,,Accessories,['recsyxfe849AfwI82'],,,0.16,,,,,,,
Glass - Kentucky 750ML,Glass,Kentucky 750ML,['Repeat order'],Glass,,,['rec6HZLAzIYFQUUuw'],0.52,"[{'id': 'atthTaGTcaJKPaZjf', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/JjaLh8g26QYnAJXbYkZoLQ/4EZG2yPdoZj-8i6mC6Qaea0LQVJkEV1CS0gQTaVPIxqcaxikT2OoMV-l2aFQE5npN9nTtVtsYtJSr3sPstonZK76XPRiJKB62auIh--JPoVIqWVxf31b5-yhRVrIxhlx/L93JMfqUzd_Hl-3SmwIzNTcN8Bdzzk0TQN1-lqhBBXU', 'filename': '8396737d2736d272c8c0ab8aab49de9.jpg', 'size': 1002024, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/e8yjCnJemnladfaKr-iZNA/OCmnkJ5R7D3Y4OxVxPtukdd27xoLFqSrN4_G6u1qI9Q-BJPfEMVhwtdfw2hmG8VtH9g9BxKRxXSRZMDZr0Cp7w/s5IHw_7k6XoCTnFTaCq8ckN1DPyduDilJF97L-hZNJQ', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/p0AL9axqgGV9ovQkQ_qvBQ/zFAti25rqBr9SXZ5Ys2eDyE843UbPDXMcZbmKihAynGnJ3qcsusN6Vl4JVWK9mK8h1Xkeq9Owq3qpr-Wu8p2Tg/Xxrld-xMQF49LaRr5f4gJdOFzRYP9HVL9SWHlC7mPS0', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/8XFZ_WhovyqIlcPlx9ElaA/KaIlbnsbtCHv2pglpT5FYTjU3AXeA899lnQ9_0tdC3y3pYEuqZl9k21_eo3YUuSHC52Hx3J632k5cvpiQqBlXg/QGJTf5LHtK458KkImR5U6QBo9DgnPReHFJyl9zFfI7A', 'width': 3000, 'height': 3000}}}]",794.1,super flint,,4.43,,
Ceramic - PINATA CERAMIC BOTTLE 750 ML,Ceramic,PINATA CERAMIC BOTTLE 750 ML,,Ceramic,"['recwjELGkp3Rr8Xle', 'recb567cxUttvzcbH']",[None],['recWEDMM3kii60r6z'],7.84,"[{'id': 'atthji0OTNC6pY1mO', 'width': 105, 'height': 176, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/7V5uWLuxchgjmjNsitD9MA/fIU1eISgXfSpEahO5V2zLlOAiqrurO0QHwewDrsjiL1UQsb7dGYF_aukZwbhmoLFo22as5aJwsRQPcDnJGhvNuFWyGeCd_B7CMFIVYTOEIA/zZVYI6gF4rGRJXPx4LNgHI9dypH5X3TEucN-M6cjpuo', 'filename': 'image.png', 'size': 42488, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/1vAtajRGuaP3hi0oDqhJyg/ZssPPaA0rKnizpDstRSb7E8nTnaUBwwm7iXPIzTg1IJ7A2J1FVzUPc1pBJvEUZsjeEZGr62VludWuRkt4WAV1Q/gFhT-S-zN2ijrDAlDokBv0DnAv62_j2uY_xBmB2zT8o', 'width': 21, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/hhB29546e9lln7pKL29UKA/_gFaveISdp_wyI_0BlPX2oAtv3SrpeCtDjN3AE_02w71mpTCYh5XuArgbvgXTnkVUOn7wx80mw-aHH3jNny8yQ/FgdQRmOlQ3EpSemeJd9PF7oyC2ZnfaFfcsHkc5pl1pU', 'width': 105, 'height': 176}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/wOHDP8BevLPQJFt_03n6PA/A4RXF-XyiOBZSDCUKKELz9SzqwRjcnDxNC1uiIBzHOxA9CmlkVQ-2YDnrOo03YzKWc-xaQZ5r0wj02YDlHSlpQ/kb1xDMcyQqr23t7ppYMJmVY9NaWyl21UBWuV81AzNWU', 'width': 3000, 'height': 3000}}}]",,,,38.5,,
Bottling - Bottle filling,Bottling,Bottle filling,,Bottling,"['recRPcuYUwXDu106j', 'recXU1RNxcgrJAoa9', 'recz8PkW1F0U6CXjf', 'reck1U9U5mCq786yn', 'recwR29xb7eckrfHS', 'recU9VRhp1uMEEGSw', 'recG35CPxauJ6XCbr', 'rec5D2Is96ry3IHzc', 'rec8zBkISIrkQuI1K', 'reciMmKvb5YJ7fddq', 'rec59ov3FiTR5WFLc', 'recpm6vFZ2QpJ3Bdo', 'reckDB41Bb6uw31Hq', 'recIEKajQrgM1NQxH', 'recqh7qnD3GZ4GmoA', 'recZEjfv1uVRAWZXX', 'recSRLOx8jIxtsTqW', 'recEp8R1UXg58WIt9']","['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",,0.45,,,,,,True,
Ceramic - Gun Powder Ceramic Blue DGIG 700ml/750ml ,Ceramic,Gun Powder Ceramic Blue DGIG 700ml/750ml ,['Repeat order'],Ceramic,"['recfVyy9JKxfRqAOz', 'recLi94JObxqMhuyp', 'recS7VVOV8WiBkPfF', 'recYktISCEwPFQqmR']","['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",['recGTcKqeeoGfgBkP'],2.69,"[{'id': 'attlgCRiHgYmNJiuQ', 'width': 370, 'height': 621, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/af2PyXkZdv3YuMTfGUtJqA/-ARpZDKeW90sbOu6Q1UD4FSG1wDftk7JB2MeD-FxVDSQ8btaZF5RgFdqXGJPxo2YHV5GmZhWV_dgvw6hB22-sYX0pJ9yZw6FLkAjGu5DAns/UgwIjiNgqjWO6GAW3ymvhj7Wak8sTSyktDiWyCj3Eq4', 'filename': 'image.png', 'size': 311315, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/_OwEo8AffIg-eBH6Cu6QCw/W4vHw66zBuUY8TkqDxu_wUYHyHByRSFeAWqJc5JEoJ8oA1BAJ9tiiQyAoksV7alUeUrKHqaF0Tdx3IJOsnTi7Q/xir5gR58UBaPqv2oKEq17Ig3eL8EHqO1wzEPXXFe2Yw', 'width': 21, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/pauMttyHeOrGD0X5AOWJYw/WtZ8sv35RoZXAe-0draivPeTM7IEcnlzM9QBKX5brJ8CLKQ2UVj7njpvchtO2yYvdoyQBHuacd5waqvulcuYFg/1SDraik9kNAqnlqXKTYqUEygO1rIUevnBTdPLIQ6J4M', 'width': 370, 'height': 621}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Pchg-J00WWh7g718qel50w/rPAQXVkD5m3n8adqaYJ7UBsfNXP2cnKuEvDkm3jpmbYrODDuTONWJntXA6r5Tr3NmABT-PgVzDKDW7FWhCnAuw/fiWxLPtGRHsIM6fb-yS3BwXWvNqLsl4rdiKsyqbFgpM', 'width': 3000, 'height': 3000}}}]",580.0,ceramic,,13.75,,
Accessories - Custom Cork,Accessories,Custom Cork,,Accessories,"['recSmk24WJtRsFRo2', 'recCXfK0TbXnSLeUr', 'recu64mQRL7yrM7Wv', 'recgi92UhNK64YctP', 'recGM70ip8Z3tn2AS', 'recBxMFCXrb2zO4p2', 'recyc3MXFYzXueRit', 'recBTUXWF3snfHt91']","['Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Bernard.booker2022@gmail.com', 'miguel@ckbg.com', 'horner.oliver@gmail.com', 'olly@palmarae.com>']",,,,,,,,True,
Packing -  Baseball Bat 750ml Outside Carton,Packing, Baseball Bat 750ml Outside Carton,['Repeat order'],,['recK6mHfewtCmmmal'],,['recyN9PCcdYScELcF'],2.4,"[{'id': 'att6tkRoGwxbO3ynr', 'width': 1199, 'height': 567, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/mBgMOIw1up6YIllyZ5s6ng/E5pMlWZQdeEo9PBWoonp1iYdwi9RAxyX33utq5alUIhnEM28pLt1NVkibEzU2aN-4Rt0FqlKi7ULuctqew0LLlkccXwN0tx7GXdnIhAA5dixWqb2Rhof5HmrIxLd36Ib/UXXyO8fuRoGXINGCTi2GbmaCB1gDgGz_050lwWhxcS0', 'filename': '6d1f189bd1b9613dfc34045dffe391b.png', 'size': 84733, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/BHMEpNYBr6GkVJ1DNte88Q/3GpjypcKO_5h_YQo3Rvoaw1yoRvkRKFlLR2PBsHvnJmvdMzQf2kR_XWHjwVPmcZCVfN0fqelQn3fIq2uXi4tMA/v5iQhwAp_6YuPYYo0WlmPbU-hAFKFJUxY8KCorb3LOA', 'width': 76, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/_XpRtLwHaw48ieeL8w65ag/SYqSvRbqLllXqOsrU2PbjC2RUonzn_GEwPpOKFpphdIaaZUhJrY5pHGQ_W2wC_kO3IS8-e5qQzRGa8EgKTMeLw/RMtgeQat7Xp5g8jDWtk8U___H2ayqJxWo5ddcNgjwMs', 'width': 1083, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/har3pLTocMaf_OxOANlfig/g6Hcb09M9-pZuFxVhUtXJYuf-KiqAY8kjfCNqlVVGzdN-KZTXpotXHsMjHosirQK_fufHh_5MoVvfe720aeFxg/ULgnD7H_h2l-CsQ01PAs2TuDvbYHowvhoh3NYrPUdqs', 'width': 3000, 'height': 3000}}}]",300.0,Paper,,12.5,,
Ceramic - SKORPIOS Ceramic 750ml Gold,Ceramic,SKORPIOS Ceramic 750ml Gold,['Repeat order'],Ceramic,['recLZTjNx259sHmz2'],['mina@dragoscantina.com'],['rec2xxD7bRWqCORAE'],4.6,"[{'id': 'attT70KCOHOY9ESIV', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/xVCVn9_htzgUL1k0dT7Y3Q/nU779GjfuOjDxtTQT7OGVzKxBHdQdV4sKthoDqwbqt9h1yJZ2f7xOVbTga8hJij5dVrgQYPYQNZUru9ta5BYc6qAl3WCwlWbciIT9FbDXOkoHLpCAR6oqGjTO3og0Xex/1nLPFiLLED4VgkmqzFstJ3QLqO4W9wqBjYy80ATUi_Y', 'filename': '17c06562c57e4f4b703c9a3e8ed706b.jpg', 'size': 544219, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Xc1unr0c7TOOTvgd64wY0A/qTA9EN7BnWn4KF7q5eCBOlwELzIrmZhyXAjn4zyx8lCCT5StJ2pYUxNhDNxPlJlQ9AQ_6N93nfr3F0JpwWSd_w/Gu9CA30YQgGIrt-wMazqHHJVF2SXlaclED3lKMVU1YQ', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/QORkajRo1yKiYnykBEkEew/46lzUfwV28RM_Ksl5lUlTfCyNulBSEWtLGBRRcJ1IW1mKBKYGNXXX0HKxLEqbmEmPb2AEamsXAK0VsBqvQzYlg/7CUIyTXbLLLtMKWkpMzCzlFvm0nX2Y5tUekq44QYrNo', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/0KkwqkOlNnBWsDHHxFGLYw/HLD1yNfe1uxjMAsav8M775Id25jo0JXEGEKEvEeanTMXQmMzs6jTPdUBsHqrDyKrMze5jpiOPzqfTPi3z5y1pg/I1msFHhtHc9A2sFiV40Tz5Kipq8_CHYRi1hGtLKb0Vg', 'width': 3000, 'height': 3000}}}]",,Ceramic,,19.8,,
Ceramic - CACTUS CERAMIC BOTTLE 750 ML,Ceramic,CACTUS CERAMIC BOTTLE 750 ML,,Ceramic,"['rec4XytJFz8cONouM', 'reczkkPHEjwBlaKdE']",[None],['recWEDMM3kii60r6z'],5.15,"[{'id': 'attbFYHlFigAmhOrD', 'width': 98, 'height': 180, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/7QMD83r7yAQoWIHaBVyq0A/8vSixkZknoiZdRju0csWCIRtHsfO43C6Fb5vxVVfUUYODcniT2mzn226NSAh3dkFvncP41LmwcAu4mALVPATljmT2RVFrpmXOkOQAWOgIOg/VWWx6yxvkDynMcfPEloSkHuwUcLeVFHdMRaZjQdGSVE', 'filename': 'image.png', 'size': 40858, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/X_SEuXJvm2O4aVXWtvmvmA/jRAF7RkekYZq-1hpAdFDrBWcvq81u3HkmAHH5Dgt2WtweVp0BgpsFwlD_ti9Ce0sHLlx46f7BtUiQXFz0EyHzw/y4O_af4NpWH8fzmzvKeHzRtIWOOZWNwS2OSnfAaPuCo', 'width': 20, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/dHekhhPHNaIigSdYSQkk1w/-JYXSTtnQ7uGzdEvssLTOEYO5znBAQs4tniyfJsPOBvpYh-pnTsv9bROaCcUglO67YTSSNP-QXS0C5bM_AD4Pg/poNn3Lyw_3HkBRnJpVl0t5mdW0ENvkdBfdBApjGXnbs', 'width': 98, 'height': 180}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/BUvEZ1i3YUuGZUgjGUGHSg/e2d-zo72huNP5w3j1xrmPxLS0EoJCEGIod6qzIaObxkYA5BImoJLkZ37-aVjFcWQVD-UIa8RCCzWCwdP4vZwWw/ugZ-qBGIPZWiYtkkWl3ocMdq4KpL8CHvWc-oxrj-eVc', 'width': 3000, 'height': 3000}}}]",,,,25.3,,
Accessories - Angry Dog Ceramic 750ml Wooden Cap+ Cork Red,Accessories,Angry Dog Ceramic 750ml Wooden Cap+ Cork Red,['Repeat order'],Accessories,['reccLEGKzBGXYAAEA'],['dairenort@gmail.com'],,0.4,"[{'id': 'attsk3bh57fxS6SOj', 'width': 242, 'height': 173, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/HRL8ggqqN489IPMDKkmm6w/X1-1UNt8_tySOgLEgWhIJ60VUInKw-TChXxNUp0n-aPBVv2mzlR1sGGJ8qiy8u5mA62fRXbf-gdxwrPhkianlcYzrEmGyp26qGqI99Rrt-U/wrnfihA1BznBK_3n9y0e5pRF82ydTakpYRO6jbJuP8k', 'filename': 'image.png', 'size': 90276, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/TIKJirk0yHs4u_xvMUuZEA/E5DgVCvTNCN8NVYhZFdop7b2_FuMDgHZEToB1X9nVME_crbBIVO2Hi-qkJ9OpH9a93OTPfnmFKKNf6Jalj_gCg/JRyVulFr0bwLARNV2ErToWHVd5bFxVqRg2tP2EeDlfY', 'width': 50, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/6l5suo-Tv8As-y3XgimVzA/Qw_dpQsFR-oAs_Ay1K34Y9Fe1BsGzkFQPbFqe9ykEw457no1AyYttT8hWX1nnCN-fSgjJNlwndXv7LrLxjUJ8Q/hlaVHDe8gVfwcWks3NA3qnRy1riyjMxPmH77zHe7wHo', 'width': 242, 'height': 173}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/u1Ed8jPSTTPcTzglwIb-YQ/EJC_84fT3ZcEPu14NCQLxItqGtvdTb-IGuXQZgS1rS7ClfldFqd3qIJiCB3HlPQCg7V1IkiAfpZpJuWTUZAzlw/9madHifQVpjmgt0jnMDiUdiw4UbJwB8TL5qcET2U0YU', 'width': 3000, 'height': 3000}}}]",9.0,wood+cork,,1.85,,
Ceramic - TROO Ceramic 750ml Matt White with Green Decal,Ceramic,TROO Ceramic 750ml Matt White with Green Decal,['Repeat order'],Ceramic,['recarC4yGB2zK40Jl'],[None],,4.13,"[{'id': 'attN6NWAfck61Hhoa', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ZEN1w4inwLZawvJXEQbkjg/_DJ3OwqPIVjTBcNUIn73QhQajpvqKS1H-gnztQAMRn9cNPW9cQ94h3GKP_a-3OSIn7iWyc9wC06fxwGzFWByKo937z4LstBr2SKtL5r6O3CRlgyzv4a1usfEQ6P8SUH9/UIM8gHqVt1o-3kj-SRBUepr4EJgwsN38laUYxlwPlD0', 'filename': 'b7893a381a068fddb3b8f9844f36285.jpg', 'size': 267449, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/zsf4Hq7PHF9nGY0uyzRCHg/jyN_gV6RfxnFqcIp1LqZ8P3MxGnZGI_BsxSXDYC2JfszWDkcQmkAMK0a-L0NiXziMEFwHt1lx421-Z6YT4-g8A/adjVRcyVkBKYYMJK1cjSTLmnwvGWP_8yHfq2u9Nbefk', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Odt_3i60gtU5G7PXRdKmmA/k1nALlMpp9WJNg60hQccppzy3kE8cYanrQXpgLpaceseqitmMAo9e22p-TS8r7w7MX9sAoNhg8zaAeEYoCJRug/oCwGCRh2XXO1gTbK259gl02YKvS3ZpdK4btikKt-SdM', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/KAEIR1dEubeSzIgrK8yCnw/A_gLoELFwWbRCKq0k1rRwUhvBSCLdqKGIbXt1lhG8mkeXjT4aODNDnuRyp_syEVmoDUH27njELandwoTJ4YvBA/C1COWl-R5ZFRIayD3JRigsMTIGL_-taQmVplSPZBv4k', 'width': 3000, 'height': 3000}}}]",800.0,Ceramic,,17.05,,
Glass - 6066-B# Bourbon 700ml,Glass,6066-B# Bourbon 700ml,['Repeat order'],Glass,['recZiKv0ujiFMclad'],['even@willettdistillery.com'],,1.64,"[{'id': 'attkJQqgbqDoYhwTK', 'width': 284, 'height': 448, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/iXfLJsK_GCBJfXDn6xoHpg/wn0UKIt0KOgEhbeEuMt6LEIco1_Rr9Pth2Az8anPWIascFCio1-2vwbEybi8OWzfgySwnXorLlpgVFr8fg3hlPVeDWSUsCM8Xp59zc_6ArV1D6nLiNfxxvf9fQSKaNBd/lq39HdUZL8PCV2fiequMoQkwKEAwiwd85erzy--eiwI', 'filename': 'Capture d’écran 2023-07-25 à 13.51.43.png', 'size': 154810, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/i6FvkEJTFBU3uqZ9U0u2LQ/xPxugEuiXeE13kgsaC7hd-KESY66gGN3-UAHSv-YWASTdzGbzVl_oKy13vilbAE5o7-nw1oCEMmdcknB_f0sjA/Sh8r48Q0IuAJY7d0kNdoUGLaNs3SUc0FFAmhlB6Cxl8', 'width': 23, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/-6Is9VCUHEMdgbZCBVL9sQ/mv2fxS_IWyVCckN6pNNpjlFQG_ysi0AaaVk2jO7fCv5v8iUnA0Bp2zCcjiOtURcgELQ-YNSzatRhbd9qWbhvgQ/Nlcbs2xTwoIho_6Uma9j1buaPIJ5b-cHYUzt2OZu3Mw', 'width': 284, 'height': 448}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/BRCWlsXrZwKVLm0eDf43tQ/iYpM0wI-j-N4pYEFXgD0LVwYgOOld7OohD8TIbDQNUz2SuHF79CNgCxnAoEiu3oihNV8RLr9QmnCAvO7Hhr43g/wfZtYQbg6TDTx-VTU2HulOazKIAFE0woCVJZBrrp2eU', 'width': 3000, 'height': 3000}}}]",660.0,Glass,,,,
Accessories - Baseball Bat 750ml  wood cap+cork,Accessories,Baseball Bat 750ml  wood cap+cork,['Repeat order'],Accessories,,,['recyN9PCcdYScELcF'],0.5,"[{'id': 'atttWUTPfh0enG63X', 'width': 1080, 'height': 1920, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/BW7a8JoPlQjJ_QWKyymDPw/kuls5QBdaA8QJ4kYWtnR2f4MDeBOk61mKc-hP4OsotgEnDgTxYRVseEw4PxBTXg5ZmIXbbElcXgPCEsvz_BtVeuBnwTyWiMxC39Vxl0ZV4wy32G2ubxlcuQH-2kPa1tM/qcB4hmv6alJiZArwcQYi10SDglq5_iHCbyy_1zzlIF4', 'filename': 'bbeeb77fbfed62ab54a7105ecc11e03.jpg', 'size': 859471, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/B5qq3sCUukq0R6MkPGHtRQ/KdUA73xVIE6z3cv_hRUEIuU0gBJrdmoEDCmH0cemNGw-nRb0cVEqeCpTRWSw4qrQ8B-nbG4Ea779x36zEiJ_fw/VoKqB1A2tcDeZ8i0Oy__rFzssWvD3wmj4RfWEBlbUx0', 'width': 20, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/9sgQoW5ckdDObIqSyyMdWw/8DSKL46rMMCKjMVP8uk8bVFAH7vHqpM3i-oTB7asSyRZl5I07XmVp_T5kEvgBGoB4U1yTOCj9_QUpZ0vr1ydUA/iRmvaUOyL6t2AzmlvLViUjFUV5eCGYXUsMyb_F_Imn0', 'width': 512, 'height': 910}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/_a6DdiiW4x3DM9tNMVag5w/n4EP6ltedLisDVLTul2D0nCZFVyIjQH3_LjmeIA5gphec0AyqLnMWIrFOqDdbKYX8w7efw_ihLectW-NGtTgyA/59aqLBVxkgCXYUCjlqT3bgwCa4ftZNfgxIdPc2kwOoY', 'width': 3000, 'height': 3000}}}]",25.0,Wood,,2.5,,
